operon	transcription_factor	regulation_type
cysPUWAM	cysB	activator
tauABCD	cysB	activator
deoCABD	cytR	repressor
nupC	cytR	repressor
nupG	cytR	repressor
ppiA	cytR	repressor
rpoH	cytR	repressor
tsx	cytR	dual
udp	cytR	repressor
deoCABD	deoR	repressor
nupG	deoR	repressor
tsx	deoR	repressor
nrdAB	dnaA	activator
rpoH	dnaA	repressor
dsdC	dsdC	repressor
dsdXA	dsdC	activator
ebgAC	ebgR	repressor
emrRAB	emrRAB	repressor
ompC	envY_ompT	activator
ompF	envY_ompT	activator
ompC	evgA	activator
exuR	exuR	repressor
exuT	exuR	repressor
uxaCA	exuR	repressor
uxuABR	exuR	repressor
fabA	fadR	activator
fadBA	fadR	repressor
fadL	fadR	repressor
iclMR	fadR	repressor
uspA	fadR	repressor
fecABCDE	fecIR	activator
fecIR	fecIR	activator
fdhF	fhlA	activator
hycABCDEFGH	fhlA	activator
hypABCDE	fhlA	activator
flgAMN	flhDC	activator
flgBCDEFGHIJK	flhDC	activator
flhBAE	flhDC	activator
fliAZY	flhDC	activator
fliE	flhDC	activator
fliFGHIJK	flhDC	activator
fliLMNOPQR	flhDC	activator
flgBCDEFGHIJK	fliAZY	activator
flgKL	fliAZY	activator
flgMN	fliAZY	activator
flhBAE	fliAZY	activator
fliAZY	fliAZY	activator
fliC	fliAZY	activator
fliDST	fliAZY	activator
fliE	fliAZY	activator
fliFGHIJK	fliAZY	activator
fliLMNOPQR	fliAZY	activator
motABcheAW	fliAZY	activator
tarTapcheRBYZ	fliAZY	activator
tsr	fliAZY	activator
acs	fnr	activator
ansB	fnr	activator
arcA	fnr	activator
aspA	fnr	activator
caiF	fnr	activator
cydAB	fnr	repressor
cyoABCDE	fnr	repressor
dcuB_fumB	fnr	activator
dmsABC	fnr	activator
fdnGHI	fnr	activator
fnr	fnr	repressor
focA_pflB	fnr	activator
frdABCD	fnr	activator
glpACB	fnr	activator
hypABCDE	fnr	activator
icdA	fnr	repressor
narGHJI	fnr	activator
narK	fnr	activator
ndh	fnr	repressor
nirBDC_cysG	fnr	activator
nuoABCEFGHIJKLMN	fnr	repressor
sdhCDAB_b0725_sucABCD	fnr	repressor
tdcABCDEFG	fnr	activator
aceBAK	FruR	repressor
adhE	FruR	repressor
fruBKA	FruR	repressor
icdA	FruR	activator
ppsA	FruR	activator
ptsHI_crr	FruR	dual
pykF	FruR	repressor
fucAO	fucPIKUR	activator
fucPIKUR	fucPIKUR	activator
cirA	fur	repressor
entCEBA	fur	repressor
fecIR	fur	repressor
fepA_entD	fur	repressor
fepB	fur	repressor
fepDGC	fur	repressor
fhuACDB	fur	repressor
fur	fur	repressor
sodA	fur	repressor
tonB	fur	repressor
galETKM	GalR	repressor
galS	GalR	repressor
galS	galS	repressor
mglBAC	galS	repressor
gatYZABCDR_2	gatR_1	repressor
gcvA	gcvA	repressor
gcvTHP	gcvA	dual
gcvTHP	gcvR	repressor
glcDEFGB	glcC	activator
glnALG	glnALG	dual
glnHPQ	glnALG	dual
nac	glnALG	activator
glpACB	glpR	repressor
glpD	glpR	repressor
glpFK	glpR	repressor
glpTQ	glpR	repressor
edd_eda	gntR	repressor
gntKU	gntR	repressor
gntT	gntR	repressor
hcaA1A2CBD_yphA	hcaR	activator
hcaR	hcaR	repressor
aceBAK	himA	activator
caiTABCDE	himA	repressor
carAB	himA	dual
dps	himA	activator
ecpD_htrE	himA	activator
focA_pflB	himA	activator
glcDEFGB	himA	activator
glnHPQ	himA	dual
himA	himA	repressor
himD	himA	repressor
hycABCDEFGH	himA	activator
hypABCDE	himA	activator
narGHJI	himA	activator
narK	himA	activator
nuoABCEFGHIJKLMN	himA	repressor
ompC	himA	repressor
ompF	himA	dual
ompR_envZ	himA	repressor
osmE	himA	repressor
pspABCDE	himA	activator
sodA	himA	repressor
tdcABCDEFG	himA	activator
hipBA	hipBA	activator
caiF	hns	repressor
flhDC	hns	activator
fliAZY	hns	activator
hns	hns	repressor
nhaA	hns	activator
osmC	hns	activator
rcsAB	hns	activator
stpA	hns	repressor
hycABCDEFGH	hycABCDEFGH	repressor
zraP	hydHG	activator
aceBAK	iclMR	repressor
acs	iclMR	repressor
idnDOTR	idnDOTR	activator
ilvC	ilvY	activator
ilvY	ilvY	repressor
kdpABC	kdpDE	activator
lacZYA	lacI	repressor
leuLABCD	leuO	activator
lexA_dinF	lexA_dinF	repressor
polB	lexA_dinF	repressor
recA	lexA_dinF	repressor
recN	lexA_dinF	repressor
rpsU_dnaG_rpoD	lexA_dinF	repressor
ssb	lexA_dinF	repressor
sulA	lexA_dinF	repressor
umuDC	lexA_dinF	repressor
uvrA	lexA_dinF	repressor
uvrB	lexA_dinF	repressor
uvrC	lexA_dinF	repressor
uvrD	lexA_dinF	repressor
gcvTHP	lrp	activator
gltBDF	lrp	activator
ilvIH	lrp	activator
kbl_tdh	lrp	dual
livJ	lrp	repressor
livKHMGF	lrp	repressor
lrp	lrp	repressor
lysU	lrp	repressor
ompC	lrp	repressor
ompF	lrp	activator
oppABCDF	lrp	repressor
osmC	lrp	activator
sdaA	lrp	repressor
serA	lrp	activator
stpA	lrp	activator
lysA	lysR	activator
lysR	lysR	repressor
tdcABCDEFG	lysR	activator
malI	malI	repressor
malXY	malI	repressor
malEFG	malT	activator
malK_lamB_malM	malT	activator
malPQ	malT	activator
malS	malT	activator
malZ	malT	activator
fpr	marRAB	activator
fumC	marRAB	activator
marRAB	marRAB	repressor
nfo	marRAB	activator
sodA	marRAB	activator
zwf	marRAB	activator
melAB	melR	activator
melR	melR	repressor
metA	metJ	repressor
metC	metJ	repressor
metF	metJ	repressor
metJ	metJ	repressor
metR	metJ	repressor
glyA	metR	activator
metA	metR	activator
metH	metR	activator
metR	metR	repressor
mhpABCDFE	mhpR	activator
malT	mlc	repressor
manXYZ	mlc	repressor
ptsG	mlc	repressor
ptsHI_crr	mlc	repressor
moaABCDE	moaABCDE	activator
modABC	modE	repressor
mtlADR	mtlADR	repressor
gdhA	nac	repressor
nac	nac	repressor
putAP	nac	activator
nadB	nadR	repressor
pncB	nadR	repressor
glmUS	nagBACD	dual
manXYZ	nagBACD	repressor
nagBACD	nagBACD	repressor
nagE	nagBACD	repressor
adhE	narL	repressor
caiF	narL	repressor
dcuB_fumB	narL	repressor
dmsABC	narL	repressor
fdnGHI	narL	activator
focA_pflB	narL	repressor
frdABCD	narL	repressor
narGHJI	narL	activator
narK	narL	activator
nirBDC_cysG	narL	activator
nrfABCDEFG	narL	activator
nuoABCEFGHIJKLMN	narL	activator
torCAD	narL	repressor
nhaA	nhaR	activator
acs	nlpD_rpoS	activator
adhE	nlpD_rpoS	activator
aldB	nlpD_rpoS	activator
alkA	nlpD_rpoS	activator
appY	nlpD_rpoS	activator
cpxAR	nlpD_rpoS	activator
dps	nlpD_rpoS	activator
ftsQAZ	nlpD_rpoS	activator
katG	nlpD_rpoS	activator
narZYWV	nlpD_rpoS	activator
nhaA	nlpD_rpoS	activator
osmC	nlpD_rpoS	activator
osmY	nlpD_rpoS	activator
proP	nlpD_rpoS	activator
csgBA	ompR_envZ	activator
csgDEFG	ompR_envZ	activator
fadL	ompR_envZ	repressor
flhDC	ompR_envZ	repressor
ompC	ompR_envZ	activator
ompF	ompR_envZ	dual
ahpCF	oxyR	activator
dps	oxyR	activator
gorA	oxyR	activator
katG	oxyR	activator
oxyR	oxyR	repressor
pdhR_aceEF_lpdA	pdhR_aceEF_lpdA	repressor
phnCDE_f73_phnFGHIJKLMNOP	phoBR	activator
phoA	phoBR	activator
phoBR	phoBR	activator
phoE	phoBR	activator
pstSCAB_phoU	phoBR	activator
pspABCDE	pspF	activator
codBA	purR	repressor
cvpA_purF_ubiX	purR	repressor
gcvTHP	purR	repressor
glnB	purR	repressor
glyA	purR	repressor
guaBA	purR	repressor
prsA	purR	repressor
purC	purR	repressor
purEK	purR	repressor
purHD	purR	repressor
purL	purR	repressor
purMN	purR	repressor
purR	purR	repressor
pyrC	purR	repressor
pyrD	purR	repressor
speA	purR	repressor
ycfC_purB	purR	repressor
putAP	putAP	repressor
rbsDACBK	rbsR	repressor
ftsQAZ	rcsA	activator
rcsA	rcsA	activator
wza_wzb_b2060_wcaA_wcaB	rcsA	activator
rhaBAD	rhaSR	activator
rhaSR	rhaSR	activator
rhaT	rhaSR	activator
aslB	rob	activator
fumC	rob	activator
galETKM	rob	repressor
inaA	rob	activator
marRAB	rob	activator
mdlA	rob	activator
nfo	rob	activator
sodA	rob	activator
ybaO	rob	activator
ybiS	rob	activator
yfhD	rob	activator
zwf	rob	activator
rpiB	rpiR_alsBACEK	repressor
rpiR_alsBACEK	rpiR_alsBACEK	repressor
cutC	rpoE_rseABC	activator
dapA_nlpB_purA	rpoE_rseABC	activator
ecfABC	rpoE_rseABC	activator
ecfD	rpoE_rseABC	activator
ecfF	rpoE_rseABC	activator
ecfG	rpoE_rseABC	activator
ecfH	rpoE_rseABC	activator
ecfI	rpoE_rseABC	activator
ecfJ	rpoE_rseABC	activator
ecfK	rpoE_rseABC	activator
ecfLM	rpoE_rseABC	activator
fkpA	rpoE_rseABC	activator
htrA	rpoE_rseABC	activator
ksgA_epaG_epaH	rpoE_rseABC	activator
lpxDA_fabZ	rpoE_rseABC	activator
mdoGH	rpoE_rseABC	activator
nlpB_purA	rpoE_rseABC	activator
ostA_surA_pdxA	rpoE_rseABC	activator
rfaDFCL	rpoE_rseABC	activator
rpoD	rpoE_rseABC	activator
rpoE_rseABC	rpoE_rseABC	activator
rpoH	rpoE_rseABC	activator
skp_lpxDA_fabZ	rpoE_rseABC	activator
uppS_cdsA_ecfE	rpoE_rseABC	activator
xprB_dsbC_recJ	rpoE_rseABC	activator
clpP	rpoH	activator
dnaKJ	rpoH	activator
grpE	rpoH	activator
hflB	rpoH	activator
htpG	rpoH	activator
htpY	rpoH	activator
ibpAB	rpoH	activator
lon	rpoH	activator
mopA	rpoH	activator
mopB	rpoH	activator
atoC	rpoN	activator
dctA	rpoN	activator
fdhF	rpoN	activator
fhlA	rpoN	activator
glnALG	rpoN	activator
glnHPQ	rpoN	activator
hycABCDEFGH	rpoN	activator
hypA	rpoN	activator
nac	rpoN	activator
nycA	rpoN	activator
pspABCDE	rpoN	activator
rtcR	rpoN	activator
zraP	rpoN	activator
rtcAB	rtcR	repressor
soxR	soxR	repressor
soxS	soxR	activator
acnA	soxS	activator
fpr	soxS	activator
fumC	soxS	activator
nfo	soxS	activator
sodA	soxS	activator
soxS	soxS	repressor
zwf	soxS	activator
srlAEBD_gutM_srlR_gutQ	srlAEBD_gutM_srlR_gutQ	repressor
tdcABCDEFG	tdcABCDEFG	activator
tdcABCDEFG	tdcAR	activator
torCAD	torR	activator
torR	torR	repressor
treBC	treR	repressor
aroH	trpR	repressor
aroL_yaiA_aroM	trpR	repressor
mtr	trpR	repressor
trpLEDCBA	trpR	repressor
trpR	trpR	repressor
aroF_tyrA	tyrR	repressor
aroG	tyrR	repressor
aroL_yaiA_aroM	tyrR	repressor
aroP	tyrR	repressor
mtr	tyrR	activator
tyrB	tyrR	repressor
tyrP	tyrR	dual
tyrR	tyrR	repressor
uhpT	uhpA	activator
uidRABC	uidR	repressor
uidRABC	uxuABR	repressor
uxuABR	uxuABR	repressor
xapAB	xapR	activator
xylAB	xylFGHR	activator
xylFGHR	xylFGHR	activator
adhE	yhdG_fis	activator
alaWX	yhdG_fis	activator
aldB	yhdG_fis	dual
argU	yhdG_fis	activator
argW	yhdG_fis	activator
argX_hisR_leuT_proM	yhdG_fis	activator
aspV	yhdG_fis	activator
leuQPV	yhdG_fis	activator
leuX	yhdG_fis	activator
lysT_valT_lysW	yhdG_fis	activator
metT_leuW_glnUW_metU_glnVX	yhdG_fis	activator
metY_yhbC_nusA_infB	yhdG_fis	activator
nrdAB	yhdG_fis	activator
pdhR_aceEF_lpdA	yhdG_fis	activator
pheU	yhdG_fis	activator
pheV	yhdG_fis	activator
proK	yhdG_fis	activator
proL	yhdG_fis	activator
proP	yhdG_fis	activator
sdhCDAB_b0725_sucABCD	yhdG_fis	activator
serT	yhdG_fis	activator
serX	yhdG_fis	activator
thrU_tyrU_glyT_thrT	yhdG_fis	activator
thrW	yhdG_fis	activator
tyrTV	yhdG_fis	activator
valUXY_lysV	yhdG_fis	activator
yhdG_fis	yhdG_fis	repressor
yiaKLMNOPQRS	yiaJ	repressor
znuABC	yjbK	repressor
dctA	yjdHG	activator
dcuB_fumB	yjdHG	activator
frdABCD	yjdHG	activator
zntA	zntR	activator
